site_no,station_nm,latitude,longitude,state_cd,county_cd,huc_cd,huc_code,huc_region,drainage_area,site_type,active,basin,is_huc17,has_discharge
10375000,"M.C. DITCH AT ADEL,OREG",42.1832207,-119.984393,OR,037,17120007,17,1712,,ST-DCH,Yes,Pacific Northwest,True,True
10376500,"FISH CREEK NEAR PLUSH,OREG.",42.383217,-119.9010614,OR,037,17120007,17,1712,38.0,ST,Yes,Pacific Northwest,True,True
10377000,"HONEY CREEK AT CHARLESTRAND RANCH NR PLUSH,OREG.",42.4498814,-120.0677325,OR,037,17120007,17,1712,56.0,ST,Yes,Pacific Northwest,True,True
10378000,"TWELVEMILE CREEK NEAR PLUSH,OREG.",42.3832166,-120.01773,OR,037,17120007,17,1712,37.0,ST,Yes,Pacific Northwest,True,True
10378500,"HONEY CREEK NEAR PLUSH,OREG.",42.42488264,-119.9232849,OR,037,17120007,17,1712,170.0,ST,Yes,Pacific Northwest,True,True
10382500,"CHEWAUCAN RIVER AT DAMSITE NEAR PAISLEY,OREG.",42.46654319,-120.5844132,OR,037,17120006,17,1712,158.0,ST,Yes,Pacific Northwest,True,True
10382550,"CHEWAUCAN RIVER NR BUCK MTN, NEAR PAISLEY, OR.",42.4859875,-120.5738577,OR,037,17120006,17,1712,157.0,ST,Yes,Pacific Northwest,True,True
10382600,"CHEWAUCAN RIVER BLW COFFEEPOT CR NR PAISLEY, OR.",42.56848636,-120.5955265,OR,037,17120006,17,1712,216.0,ST,Yes,Pacific Northwest,True,True
10383500,"CONN DITCH NEAR PAISLEY,OREG.",42.6832077,-120.584417,OR,037,17120006,17,1712,,ST-DCH,Yes,Pacific Northwest,True,True
10384000,"CHEWAUCAN RIVER NEAR PAISLEY,OREG.",42.68459668,-120.5699722,OR,037,17120006,17,1712,275.0,ST,Yes,Pacific Northwest,True,True
10384100,"CHEWAUCAN RIVER AT PAISLEY,OREG.",42.6998744,-120.551083,OR,037,17120006,17,1712,278.0,ST,Yes,Pacific Northwest,True,True
10384500,"SMALLS CANAL AT PAISLEY,OREG.",42.6998744,-120.551083,OR,037,17120006,17,1712,,ST-CA,Yes,Pacific Northwest,True,True
10385000,"BAGLEY DITCH AT PAISLEY, OR",42.6998744,-120.551083,OR,037,17120006,17,1712,,ST-DCH,Yes,Pacific Northwest,True,True
10385500,"JONES-INNIS-ZX DITCH NEAR PAISLEY,OREG.",42.69987448,-120.5344158,OR,037,17120006,17,1712,,ST-DCH,Yes,Pacific Northwest,True,True
10386000,"CHEWAUCAN R AT NARROWS NR PAISLEY, OR",42.6027222,-120.4100278,OR,037,17120006,17,1712,380.0,ST,Yes,Pacific Northwest,True,True
10386500,"CHEWAUCAN R AT HOTCHKISS FD NR PAISLEY,OREG.",42.5498779,-120.3177404,OR,037,17120006,17,1712,430.0,ST,Yes,Pacific Northwest,True,True
10387100,CHEWAUCAN R NR VALLEY FALLS OREG,42.5157121,-120.2519046,OR,037,17120006,17,1712,,ST,Yes,Pacific Northwest,True,True
10387500,"SUMMER LAKE CANAL NR SUMMER LAKE,OREG.",42.99986919,-120.751093,OR,037,17120005,17,1712,,ST-CA,Yes,Pacific Northwest,True,True
10388000,"ANA RIVER NEAR SUMMER LAKE, OR",42.99486929,-120.7494263,OR,037,17120005,17,1712,,ST,Yes,Pacific Northwest,True,True
10388001,"ANA RIVER PLUS SUMMER LK CA NR SUMMER LK,OREG.",42.99486929,-120.7494263,OR,037,17120005,17,1712,,ST,Yes,Pacific Northwest,True,True
10389500,"SILVER LK IRRIG DIST CA NR SILVER LAKE, OR.",43.11097318,-121.0691648,OR,037,17120005,17,1712,,ST,Yes,Pacific Northwest,True,True
10390000,"SILVER CREEK NEAR SILVER LAKE, OR",43.11097318,-121.0691648,OR,037,17120005,17,1712,180.0,ST,Yes,Pacific Northwest,True,True
10390001,"SILVER CK + SILVER LAKE IRR CANAL, NR SLVR LK, OR",43.11097318,-121.0691648,OR,037,17120005,17,1712,180.0,ST-CA,Yes,Pacific Northwest,True,True
10393500,"SILVIES RIVER NEAR BURNS, OR",43.7151478,-119.177442,OR,025,17070101,17,1707,934.0,ST,Yes,Pacific Northwest,True,True
10395000,"EAST FORK SILVIES RIVER NEAR LAWEN, OR",43.4263611,-118.8021944,OR,025,17120002,17,1712,,ST,Yes,Pacific Northwest,True,True
10395500,"WEST FORK SILVIES RIVER NEAR LAWEN,OREG.",43.38320835,-118.8343733,OR,025,17120001,17,1712,,ST,Yes,Pacific Northwest,True,True
10395501,"E FK & W FK SILVIES R NR LAWEN, OREG.",42.3832235,-118.834356,OR,025,17120008,17,1712,,ST,Yes,Pacific Northwest,True,True
10395505,"FLOOD BYPASS SILVIES RIVER NR BURNS,OREG.",42.3832235,-118.834356,OR,025,17120008,17,1712,,ST,Yes,Pacific Northwest,True,True
10395600,"ROCK CREEK NEAR BURNS,OREG.",43.66098928,-118.6621514,OR,025,17120001,17,1712,,ST,Yes,Pacific Northwest,True,True
10396000,DONNER UND BLITZEN RIVER NR FRENCHGLEN OR,42.7908333,-118.8675,OR,025,17120003,17,1712,200.0,ST,Yes,Pacific Northwest,True,True
10397000,"BRIDGE CREEK NR FRENCHGLEN, OREG.",42.8437715,-118.8501992,OR,025,17120003,17,1712,30.0,ST,Yes,Pacific Northwest,True,True
10401500,"DONNER UND BLITZEN RIVER NEAR VOLTAGE, OR",43.25126396,-118.8579831,OR,025,17120003,17,1712,760.0,ST,Yes,Pacific Northwest,True,True
10402000,"MALHEUR LAKE OUTLET AT NARROWS,OREG.",43.2818186,-118.9649303,OR,025,17120001,17,1712,2150.0,ST,Yes,Pacific Northwest,True,True
10403000,"SILVER CREEK NEAR RILEY, OREG.",43.69153417,-119.6594056,OR,025,17120004,17,1712,228.0,ST,Yes,Pacific Northwest,True,True
10406500,"TROUT CREEK NEAR DENIO,NEV.",42.15545066,-118.4593374,OR,025,17120009,17,1712,88.0,ST,Yes,Pacific Northwest,True,True
13173000,SUCCOR CREEK NR HOMEDALE ID,43.5561111,-117.0908333,OR,045,17050103,17,1705,417.0,ST,Yes,Pacific Northwest,True,True
13173600,SNAKE RIVER NR ADRIAN OR,43.7309932,-117.0718258,OR,045,17050103,17,1705,43000.0,ST,Yes,Pacific Northwest,True,True
13179000,JORDAN CREEK NR JORDAN VALLEY OR,42.9665436,-117.2176446,OR,045,17050108,17,1705,,ST,Yes,Pacific Northwest,True,True
13181000,OWYHEE RIVER NR ROME OR,42.86638889,-117.6491667,OR,045,17050107,17,1705,8000.0,ST,Yes,Pacific Northwest,True,True
13182000,"OWYHEE RIVER ABOVE OWYHEE RESERVOIR, OREG.",43.2259899,-117.4887756,OR,045,17050110,17,1705,10400.0,ST,Yes,Pacific Northwest,True,True
13183000,"OWYHEE RIVER BELOW OWYHEE DAM, OR",43.65444444,-117.2558333,OR,045,17050110,17,1705,11160.0,ST,Yes,Pacific Northwest,True,True
13184000,"OWYHEE RIVER AT OWYHEE, OREG.",43.77766048,-117.0676601,OR,045,17050110,17,1705,11300.0,ST,Yes,Pacific Northwest,True,True
13214000,MALHEUR RIVER NEAR DREWSEY OR,43.7846025,-118.3315873,OR,025,17050116,17,1705,910.0,ST,Yes,Pacific Northwest,True,True
13215000,MALHEUR RIVER BEL WARMSPRINGS RES NR RIVERSIDE OR,43.57444444,-118.2097222,OR,045,17050116,17,1705,1100.0,ST,Yes,Pacific Northwest,True,True
13215480,"SOUTH FORK MALHEUR RIVER NR RIVERSIDE, OR",43.5190833,-118.1750583,OR,045,17050116,17,1705,697.0,ST,Yes,Pacific Northwest,True,True
13216500,NF MALHEUR R AB BEULAH RES NR BEULAH OR,43.9482139,-118.1743637,OR,045,17050116,17,1705,355.0,ST,Yes,Pacific Northwest,True,True
13217500,NORTH FORK MALHEUR RIVER AT BEULAH OR,43.9075,-118.1533333,OR,045,17050116,17,1705,440.0,ST,Yes,Pacific Northwest,True,True
13219000,"MALHEUR RIVER NEAR NAMORF, OREG.",43.7808333,-117.7663889,OR,045,17050117,17,1705,2590.0,ST,Yes,Pacific Northwest,True,True
13220000,"MALHEUR RIVER AT LITTLE VALLEY NEAR HOPE,OREG.",43.8993255,-117.5079635,OR,045,17050117,17,1705,3010.0,ST,Yes,Pacific Northwest,True,True
13220500,"MALHEUR RIVER NEAR HOPE, OREG.",43.9443259,-117.4815749,OR,045,17050117,17,1705,3030.0,ST,Yes,Pacific Northwest,True,True
13226500,"BULLY CREEK AT WARMSPRINGS NEAR VALE,OREG.",44.0193264,-117.460742,OR,045,17050118,17,1705,539.0,ST,Yes,Pacific Northwest,True,True
13227000,"BULLY CREEK NEAR VALE,OREG.",43.95821569,-117.34268,OR,045,17050118,17,1705,570.0,ST,Yes,Pacific Northwest,True,True
13228000,"MALHEUR RIVER AT VALE, OREG.",43.98043885,-117.2398979,OR,045,17050117,17,1705,3880.0,ST,Yes,Pacific Northwest,True,True
13229500,"WILLOW CREEK NEAR MALHEUR, OREG.",44.3832144,-117.7510367,OR,045,17050119,17,1705,250.0,ST,Yes,Pacific Northwest,True,True
13233300,MALHEUR RIVER BELOW NEVADA DAM NEAR VALE OR,43.9875,-117.2188889,OR,045,17050117,17,1705,3880.0,ST,Yes,Pacific Northwest,True,True
13269300,"NORTH FORK BURNT RIVER NEAR WHITNEY, OREG.",44.59987917,-118.2538272,OR,001,17050202,17,1705,110.0,ST,Yes,Pacific Northwest,True,True
13270800,"S FK BURNT R AB BARNEY CR,NR UNITY,OREG.",44.40627246,-118.3016024,OR,001,17050202,17,1705,38.5,ST,Yes,Pacific Northwest,True,True
13273000,BURNT RIVER NEAR HEREFORD OR,44.50377217,-118.177436,OR,001,17050202,17,1705,309.0,ST,Yes,Pacific Northwest,True,True
13274200,"BURNT RIVER NEAR BRIDGEPORT, ORE.",44.5434926,-117.6871528,OR,001,17050202,17,1705,650.0,ST,Yes,Pacific Northwest,True,True
13275000,"BURNT RIVER AT HUNTINGTON, OREG.",44.35821698,-117.2732357,OR,001,17050202,17,1705,1093.0,ST,Yes,Pacific Northwest,True,True
13275300,POWDER RIVER NR SUMPTER OR,44.67210015,-117.995495,OR,001,17050203,17,1705,168.0,ST,Yes,Pacific Northwest,True,True
13275500,"POWDER RIVER NEAR BAKER, OREG.",44.655434,-117.8760493,OR,001,17050203,17,1705,219.0,ST,Yes,Pacific Northwest,True,True
13277000,POWDER RIVER AT BAKER CITY OR,44.7682084,-117.831607,OR,001,17050203,17,1705,351.0,ST,Yes,Pacific Northwest,True,True
13281500,"POWDER RIVER NEAR HAINES,OREG.",44.9415324,-117.9454952,OR,001,17050203,17,1705,572.0,ST,Yes,Pacific Northwest,True,True
13285500,POWDER R BE THIEF VALLEY RES NR NORTH POWDER OR,45.00542186,-117.7816046,OR,001,17050203,17,1705,910.0,ST,Yes,Pacific Northwest,True,True
13286700,POWDER RIVER NR RICHLAND OR,44.77766079,-117.2926855,OR,001,17050203,17,1705,1310.0,ST,Yes,Pacific Northwest,True,True
13288200,"EAGLE CREEK ABOVE SKULL CREEK NEAR NEW BRIDGE, OR",44.8804379,-117.2537918,OR,001,17050203,17,1705,156.0,ST,Yes,Pacific Northwest,True,True
13289500,"POWDER RIVER NEAR ROBINETTE, OREG.",44.7693269,-117.070451,OR,001,17050203,17,1705,1660.0,ST,Yes,Pacific Northwest,True,True
13290000,"SNAKE RIVER ABOVE DAM AT OXBOW, OR",44.96055556,-116.8533333,OR,001,17050201,17,1705,72800.0,ST,Yes,Pacific Northwest,True,True
13290190,PINE CREEK NR OXBOW OR,44.9525,-116.8741667,OR,001,17050201,17,1705,299.0,ST,Yes,Pacific Northwest,True,True
13290450,SNAKE RIVER AT HELLS CANYON DAM ID-OR STATE LINE,45.2544444,-116.6969444,OR,063,17060101,17,1706,73300.0,ST,Yes,Pacific Northwest,True,True
13291000,"IMNAHA RIVER ABOVE GUNBOOT CREEK, OR",45.1815464,-116.8720975,OR,063,17060102,17,1706,99.6,ST,Yes,Pacific Northwest,True,True
13292000,"IMNAHA RIVER AT IMNAHA, OR",45.5623784,-116.8343178,OR,063,17060102,17,1706,622.0,ST,Yes,Pacific Northwest,True,True
13318050,"MEADOW CREEK BELOW SMITH CREEK NEAR STARKEY,OREG",45.2912411,-118.6044106,OR,061,17060104,17,1706,33.2,ST,Yes,Pacific Northwest,True,True
13318060,"MEADOW CREEK ABOVE BEAR CREEK NEAR STARKEY,OREG.",45.2676288,-118.5246829,OR,061,17060104,17,1706,48.2,ST,Yes,Pacific Northwest,True,True
13318500,"GRANDE RONDE RIVER NEAR HILGARD, OREG.",45.3165178,-118.2677255,OR,061,17060104,17,1706,505.0,ST,Yes,Pacific Northwest,True,True
13318800,"GRANDE RONDE RIVER AT HILGARD,OREG.",45.3390182,-118.2441137,OR,061,17060104,17,1706,555.0,ST,Yes,Pacific Northwest,True,True
13319000,"GRANDE RONDE R AT LA GRANDE, OREG.",45.34624317,-118.1249426,OR,061,17060104,17,1706,678.0,ST,Yes,Pacific Northwest,True,True
13320000,"CATHERINE CREEK NEAR UNION, OR",45.15541695,-117.774934,OR,061,17060104,17,1706,105.0,ST,Yes,Pacific Northwest,True,True
13323500,"GRANDE RONDE RIVER NEAR ELGIN, OREG.",45.51236085,-117.9274345,OR,061,17060104,17,1706,1250.0,ST,Yes,Pacific Northwest,True,True
13323600,"INDIAN CREEK NEAR IMBLER,OREG.",45.43319525,-117.8232633,OR,061,17060104,17,1706,22.0,ST,Yes,Pacific Northwest,True,True
13324300,"LOOKINGGLASS CREEK NEAR LOOKING GLASS, OR",45.73180826,-117.8649308,OR,061,17060104,17,1706,78.3,ST,Yes,Pacific Northwest,True,True
13324500,"WALLOWA FALLS PP TAILRACE NR JOSEPH,OREG.",45.26654188,-117.217669,OR,063,17060105,17,1706,,ST,Yes,Pacific Northwest,True,True
13325000,"EAST FORK WALLOWA RIVER NEAR JOSEPH, OR",45.27110278,-117.211325,OR,063,17060105,17,1706,10.3,ST,Yes,Pacific Northwest,True,True
13325001,"EAST FK WALLOWA R & W FLS PP TR NR JOSEPH,OREG.",45.27209756,-117.2107242,OR,063,17060105,17,1706,10.3,ST,Yes,Pacific Northwest,True,True
13325500,"WALLOWA RIVER ABOVE WALLOWA LAKE, NEAR JOSEPH, OR",45.2750361,-117.211375,OR,063,17060105,17,1706,43.0,ST,Yes,Pacific Northwest,True,True
13327000,"SILVER LAKE DITCH AT JOSEPH,OREG.",45.333208,-117.2204458,OR,063,17060105,17,1706,,ST-DCH,Yes,Pacific Northwest,True,True
13327500,"WALLOWA RIVER AT JOSEPH,OREG.",45.3373745,-117.2273906,OR,063,17060105,17,1706,50.9,ST,Yes,Pacific Northwest,True,True
13329500,"HURRICANE CREEK NEAR JOSEPH, OREG.",45.33737295,-117.2926744,OR,063,17060105,17,1706,29.6,ST,Yes,Pacific Northwest,True,True
13329765,"WALLOWA RIVER NEAR ENTERPRISE, OR",45.475,-117.3875,OR,063,17060105,17,1706,261.0,ST,Yes,Pacific Northwest,True,True
13329770,"WALLOWA R ABV CROSS CNTRY CANAL, NR ENTERPRISE, OR",45.4882031,-117.40379,OR,063,17060105,17,1706,272.0,ST,Yes,Pacific Northwest,True,True
13330000,"LOSTINE RIVER NEAR LOSTINE, OR",45.43875828,-117.4274062,OR,063,17060105,17,1706,70.9,ST,Yes,Pacific Northwest,True,True
13330050,"LOSTINE RIVER AT CAUDLE LANE AT LOSTINE, OR",45.4893135,-117.4365705,OR,063,17060105,17,1706,,ST,Yes,Pacific Northwest,True,True
13330300,"LOSTINE RIVER AT BAKER ROAD, NEAR LOSTINE, OR",45.53777778,-117.48,OR,063,17060105,17,1706,91.7,ST,Yes,Pacific Northwest,True,True
13330500,"BEAR CREEK NEAR WALLOWA, OR",45.52681145,-117.552411,OR,063,17060105,17,1706,68.0,ST,Yes,Pacific Northwest,True,True
13330700,"BEAR CREEK AT WALLOWA, OR",45.58042218,-117.5401867,OR,063,17060105,17,1706,72.8,ST,Yes,Pacific Northwest,True,True
13331450,"WALLOWA RIVER BELOW WATER CANYON, NR WALLOWA, OR",45.60888889,-117.616111,OR,063,17060105,17,1706,628.0,ST,Yes,Pacific Northwest,True,True
13331500,"MINAM RIVER AT MINAM, OR",45.6198669,-117.7265892,OR,063,17060105,17,1706,240.0,ST,Yes,Pacific Northwest,True,True
13332500,"GRANDE RONDE R AT RONDOWA, OREG.",45.72653386,-117.7840927,OR,063,17060106,17,1706,2555.0,ST,Yes,Pacific Northwest,True,True
13333000,"GRANDE RONDE RIVER AT TROY, OR",45.9457019,-117.4510089,OR,063,17060106,17,1706,3275.0,ST,Yes,Pacific Northwest,True,True
14010000,"SOUTH FORK WALLA WALLA RIVER NEAR MILTON,OREG.",45.8298571,-118.1699502,OR,059,17070102,17,1707,63.0,ST,Yes,Pacific Northwest,True,True
14010500,"SF WALLA WALLA RIVER BELOW PPL, NEAR MILTON, OR",45.88416667,-118.281111,OR,059,17070102,17,1707,80.0,ST,Yes,Pacific Northwest,True,True
14010800,"NORTH FRK WALLA WALLA RIVER NR MILTON FREEWATER,OR",45.8845797,-118.2027309,OR,059,17070102,17,1707,34.4,ST,Yes,Pacific Northwest,True,True
14011000,"NO FK WALLA WALLA RIVER NR MILTON, OREG.",45.90052778,-118.2973056,OR,059,17070102,17,1707,44.3,ST,Yes,Pacific Northwest,True,True
14012000,"WALLA WALLA RIVER AT MILTON-FREEWATER, OR",45.9216111,-118.3745278,OR,059,17070102,17,1707,160.0,ST,Yes,Pacific Northwest,True,True
14019200,"COLUMBIA RIVER AT MCNARY DAM,NEAR UMATILLA, OR",45.93268257,-119.2965915,OR,059,17070101,17,1707,214000.0,ST,Yes,Pacific Northwest,True,True
14019250,"COLUMBIA RIVER AT UMATILLA,OREG.",45.93235486,-119.3291842,OR,059,17070101,17,1707,2140.0,ST,Yes,Pacific Northwest,True,True
14020000,"UMATILLA RIVER ABOVE MEACHAM CREEK, NR GIBBON, OR",45.71957668,-118.3232913,OR,059,17070103,17,1707,131.0,ST,Yes,Pacific Northwest,True,True
14020300,"MEACHAM CREEK AT GIBBON, OR",45.689125,-118.3544472,OR,059,17070103,17,1707,176.0,ST,Yes,Pacific Northwest,True,True
14020520,"ISQU'ULKTPE CREEK NEAR GIBBON, OR",45.67263145,-118.401073,OR,059,17070103,17,1707,32.6,ST,Yes,Pacific Northwest,True,True
14020700,"UMATILLA RIVER NEAR CAYUSE,OREG.",45.68235328,-118.5219137,OR,059,17070103,17,1707,384.0,ST,Yes,Pacific Northwest,True,True
14020740,"MOONSHINE CREEK NEAR MISSION, OR",45.6603898,-118.56551,OR,059,17070103,17,1707,4.62,ST,Yes,Pacific Northwest,True,True
14020760,"COTTONWOOD CREEK NEAR MISSION, OR",45.66011177,-118.5960666,OR,059,17070103,17,1707,4.01,ST,Yes,Pacific Northwest,True,True
14020850,"UMATILLA R AT W RESERVATION BNDY NR PENDLETON, OR",45.67151937,-118.736649,OR,059,17070103,17,1707,441.0,ST,Yes,Pacific Northwest,True,True
14021000,"UMATILLA RIVER AT PENDLETON,OREG",45.67207498,-118.7927637,OR,059,17070103,17,1707,637.0,ST,Yes,Pacific Northwest,True,True
14021980,"PATAWA CREEK AT WEST BOUNDARY NEAR PENDLETON, OR",45.6529081,-118.7452603,OR,059,17070103,17,1707,30.0,ST,Yes,Pacific Northwest,True,True
14021990,"TUTUILLA CREEK AT PENDLETON, OR",45.65901935,-118.7991527,OR,059,17070103,17,1707,60.27,ST,Yes,Pacific Northwest,True,True
14022000,"UMATILLA R AB MCKAY CR NR PENDLETON, OREG.",45.67207507,-118.834433,OR,059,17070103,17,1707,700.0,ST,Yes,Pacific Northwest,True,True
14022200,"NORTH FORK MCKAY CREEK NEAR PILOT ROCK, OR",45.5065183,-118.6169163,OR,059,17070103,17,1707,48.6,ST,Yes,Pacific Northwest,True,True
14022500,"MCKAY CREEK NEAR PILOT ROCK,OREG.",45.54901858,-118.7744269,OR,059,17070103,17,1707,180.0,ST,Yes,Pacific Northwest,True,True
14023500,"MCKAY CREEK NEAR PENDLETON,OREG.",45.60929676,-118.7997074,OR,059,17070103,17,1707,186.0,ST,Yes,Pacific Northwest,True,True
14024200,"EAST BIRCH CREEK NEAR PILOT ROCK, OREG",45.43179658,-118.8210943,OR,059,17070103,17,1707,69.7,ST,Yes,Pacific Northwest,True,True
14024500,"BIRCH CREEK NEAR PILOT ROCK,OREG.",45.56651867,-118.7983176,OR,059,17070103,17,1707,240.0,ST,Yes,Pacific Northwest,True,True
14025000,"BIRCH CREEK AT RIETH, OR",45.65293056,-118.8793306,OR,059,17070103,17,1707,291.0,ST,Yes,Pacific Northwest,True,True
14025500,"UMATILLA RIVER NEAR YOAKUM,OREG.",45.66096409,-118.9705525,OR,059,17070103,17,1707,1260.0,ST,Yes,Pacific Northwest,True,True
14026000,"UMATILLA RIVER AT YOAKUM,OREG.",45.67763069,-119.0344457,OR,059,17070103,17,1707,1280.0,ST,Yes,Pacific Northwest,True,True
14027000,"FURNISH CANAL NEAR ECHO,OREG.",45.69985255,-119.13723,OR,059,17070103,17,1707,,ST-CA,Yes,Pacific Northwest,True,True
14029000,"UMATILLA PROJECT FEED CANAL NEAR ECHO,OREG.",45.72207528,-119.1816773,OR,059,17070103,17,1707,,ST-CA,Yes,Pacific Northwest,True,True
14030000,"ALLEN CANAL AT ECHO,OREG.",45.73318675,-119.201123,OR,059,17070103,17,1707,,ST-CA,Yes,Pacific Northwest,True,True
14030500,"WESTERN LAND CANAL NEAR ECHO,OREG.",45.7359646,-119.2094568,OR,059,17070103,17,1707,,ST-CA,Yes,Pacific Northwest,True,True
14031500,"MAXWELL CANAL NEAR HERMISTON,OREG.",45.8081879,-119.351129,OR,059,17070103,17,1707,,ST-CA,Yes,Pacific Northwest,True,True
14032000,"BUTTER CREEK NEAR PINE CITY, OREG.",45.5442902,-119.3122394,OR,059,17070103,17,1707,291.0,ST,Yes,Pacific Northwest,True,True
14032500,"WEST DIVISION MAIN CANAL NEAR UMATILLA, OR",45.8841333,-119.3263972,OR,059,17070103,17,1707,,ST-CA,Yes,Pacific Northwest,True,True
14033500,"UMATILLA RIVER NEAR UMATILLA, OR",45.9026944,-119.3270833,OR,059,17070103,17,1707,2290.0,ST,Yes,Pacific Northwest,True,True
14033501,UMATILLA RIVER PLUS WEST DIVISION MAIN CANAL,45.9029103,-119.3269618,OR,059,17070103,17,1707,,ST-CA,Yes,Pacific Northwest,True,True
14034440,"WILLOW CREEK BLW SKINNERS FORK NR HEPPNER, OR.",45.3404014,-119.4358527,OR,049,17070104,17,1707,,ST,Yes,Pacific Northwest,True,True
14034470,"WILLOW CREEK ABV WILLOW CR LAKE, NR HEPPNER, OR",45.34068289,-119.5158544,OR,049,17070104,17,1707,67.9,ST,Yes,Pacific Northwest,True,True
14034480,"BALM FORK NEAR HEPPNER, OR",45.33207265,-119.5411325,OR,049,17070104,17,1707,26.3,ST,Yes,Pacific Northwest,True,True
14034500,"WILLOW CREEK AT HEPPNER, OR",45.3504062,-119.5500218,OR,049,17070104,17,1707,96.8,ST,Yes,Pacific Northwest,True,True
14034608,"WILLOW CREEK AT MORGAN STREET, AT HEPPNER, OR",45.3612398,-119.5602998,OR,049,17070104,17,1707,147.0,ST,Yes,Pacific Northwest,True,True
14034800,"RHEA CREEK NEAR HEPPNER,OREG.",45.26124276,-119.6239109,OR,049,17070104,17,1707,120.0,ST,Yes,Pacific Northwest,True,True
14036000,"WILLOW CREEK NR ARLINGTON, OREG.",45.7531865,-120.0108706,OR,049,17070104,17,1707,850.0,ST,Yes,Pacific Northwest,True,True
14036860,"JOHN DAY R AT BLUE MTN HOT SPGS NR PRAIRIE CITY,OR",44.35793778,-118.5760531,OR,023,17070201,17,1707,40.14,ST,Yes,Pacific Northwest,True,True
14037500,"STRAWBERRY CR AB SLIDE CR NR PRAIRIE CITY,OREG.",44.3415479,-118.65661,OR,023,17070201,17,1707,7.0,ST,Yes,Pacific Northwest,True,True
14038500,"JOHN DAY RIVER AT PRAIRIE CITY, OREG.",44.4540468,-118.7177255,OR,023,17070201,17,1707,231.0,ST,Yes,Pacific Northwest,True,True
14038501,"JOHN DAY R AT PR CITY,OREG.& PC PWR CA",44.4540468,-118.7177255,OR,023,17070201,17,1707,231.0,ST,Yes,Pacific Northwest,True,True
14038530,"JOHN DAY RIVER NEAR JOHN DAY, OR",44.41848897,-118.9063419,OR,023,17070201,17,1707,386.0,ST,Yes,Pacific Northwest,True,True
14039500,"SOUTH FORK JOHN DAY RIVER NEAR DAYVILLE, OR",44.42764519,-119.5399759,OR,023,17070201,17,1707,590.0,ST,Yes,Pacific Northwest,True,True
14040500,"JOHN DAY R AT PICTURE GORGE, NR DAYVILLE,OREG.",44.5206992,-119.6260938,OR,023,17070201,17,1707,1680.0,ST,Yes,Pacific Northwest,True,True
14040600,"MOUNTAIN CREEK NEAR MITCHELL,OREG.",44.5348599,-120.0302781,OR,069,17070201,17,1707,20.0,ST,Yes,Pacific Northwest,True,True
14041000,"DESOLATION CREEK NEAR DALE,OREG.",44.9887642,-118.9205286,OR,023,17070202,17,1707,108.0,ST,Yes,Pacific Northwest,True,True
14041500,"N FK JOHN DAY RIVER NR DALE, OREG.",44.99848708,-118.9413633,OR,023,17070202,17,1707,525.0,ST,Yes,Pacific Northwest,True,True
14042000,"CAMAS CREEK NR LEHMAN,OREG.",45.17096988,-118.7324703,OR,059,17070202,17,1707,60.7,ST,Yes,Pacific Northwest,True,True
14042500,"CAMAS CREEK NEAR UKIAH, OREG.",45.15680498,-118.820531,OR,059,17070202,17,1707,121.0,ST,Yes,Pacific Northwest,True,True
