site_no,station_nm,state_cd,error
06613000,"NORTH PLATTE RIVER NEAR WALDEN, CO.",CO,No data in response
06613950,"HELL CREEK ABV NF NORTH PLATTE RIVER NR WALDEN, CO",CO,No data in response
06614000,"NORTH FORK NORTH PLATTE RIVER NEAR WALDEN, CO.",CO,No data in response
06615000,"SOUTH FORK MICHIGAN RIVER NEAR GOULD, CO",CO,No data in response
06615500,"MICHIGAN RIVER NEAR LINDLAND, CO.",CO,No data in response
06616000,"NORTH FORK MICHIGAN RIVER NEAR GOULD, CO.",CO,No data in response
06617100,"MICHIGAN RIVER AT WALDEN, CO.",CO,No data in response
06617500,"ILLINOIS RIVER NEAR RAND, CO.",CO,No data in response
06618000,"WILLOW CREEK NEAR RAND, CO.",CO,No data in response
06618300,"ILLINOIS RIVER BLW ISH BALDWIN DITCH NR WALDEN, CO",CO,No data in response
06618480,"ILLINOIS RIVER BLW POTTER CREEK NR WALDEN, CO",CO,No data in response
06618500,"ILLINOIS CREEK AT WALDEN, CO.",CO,No data in response
06619000,"MICHIGAN RIVER NEAR COWDREY, CO.",CO,No data in response
06619400,"CANADIAN RIVER NEAR LINDLAND, CO.",CO,No data in response
06619415,"BUSH DRAW NEAR WALDEN, CO.",CO,No data in response
06619420,"WILLIAMS DRAW NEAR WALDEN, CO",CO,No data in response
06619450,"CANADIAN RIVER NEAR BROWNLEE, CO.",CO,No data in response
06619500,"CANADIAN RIVER AT COWDREY, CO.",CO,No data in response
09163530,COLORADO RIVER BELOW COLORADO-UTAH STATE LINE,UT,No data in response
09163675,"COTTONWOOD WASH AT I-70, NEAR CISCO, UTAH",UT,No data in response
09180920,"ONION CREEK ABOVE ONION C BRIDGE NR MOAB, UT",UT,No data in response
09180970,"ONION CREEK BELOW ONION CRK BRIDGE NR MOAB, UT",UT,No data in response
09181000,"ONION CREEK NEAR MOAB, UTAH",UT,No data in response
09181500,"PROFESSOR CREEK NEAR MOAB, UT",UT,No data in response
09182000,"CASTLE CREEK ABOVE DIVERSIONS, NEAR MOAB, UTAH",UT,No data in response
09182200,"CASTLE CREEK BELOW CASTLETON NEAR MOAB, UT",UT,No data in response
09182500,"CASTLE CREEK NEAR MOAB, UTAH",UT,No data in response
09182880,"COLORADO RIVER AT HIGHWAY BRIDGE NR MOAB, UT",UT,No data in response
09182900,"COURTHOUSE WASH AT ARCHES HWY CROSS NR MOAB, UT",UT,No data in response
09183000,"COURTHOUSE WASH NEAR MOAB, UTAH",UT,No data in response
09183210,"COLORADO R ABOVE MILL CREEK NEAR MOAB, UTAH",UT,No data in response
09184000,"MILL CREEK NEAR MOAB, UT",UT,No data in response
09184500,"PACK CREEK AT M4 RANCH, NR MOAB, UTAH",UT,No data in response
09185000,"PACK CREEK NEAR MOAB, UTAH",UT,No data in response
09185500,"HATCH WASH NEAR LA SAL, UTAH",UT,No data in response
09185800,"INDIAN CREEK TUNNEL NEAR MONTICELLO, UTAH",UT,No data in response
09186000,"INDIAN CREEK NEAR MONTICELLO, UTAH",UT,No data in response
09186500,"INDIAN C AB COTTONWOOD CREEK, NR MONTICELLO, UT",UT,No data in response
09187000,"COTTONWOOD CREEK NEAR MONTICELLO, UTAH",UT,No data in response
