usgs_id,nws_id,goes_id,nws_hsa,state_code,latitude_decimal,longitude_decimal,latitude_dms,longitude_dms,station_name,data_source
10260950,WFMC1,17178054,SGX,CA,34.338889,-117.256944,34 20 20,117 15 25,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,NOAA_HADS
10261500,MVVC1,DDF77100,SGX,CA,34.573056,-117.319722,34 34 23,117 19 11,MOJAVE R A LO NARROWS NR VICTORVILLE CA,NOAA_HADS
10262000,XMHC1,16EDC1BA,VEF,CA,34.835517,-117.191678,34 50 07.86,117 11 30.04,MOJAVE R NR HODGE CA,NOAA_HADS
10262500,MBRC1,DD98403A,VEF,CA,34.906944,-117.021944,34 54 25,117 01 19,MOJAVE R A BARSTOW CA,NOAA_HADS
10262700,MXDC1,DE616078,VEF,CA,34.869661,-116.887658,34 52 10.78,116 53 15.57,MOJAVE R A DAGGETT CA,NOAA_HADS
10263000,MJRC1,1792B5B6,VEF,CA,35.037222,-116.383333,35 02 14,116 23 00,MOJAVE R A AFTON CA,NOAA_HADS
10263500,BRQC1,17108260,LOX,CA,34.420833,-117.838611,34 25 15,117 50 19,BIG ROCK C NR VALYERMO CA,NOAA_HADS
10265100,DCJC1,D100C7E4,REV,CA,37.750278,-118.939444,37 45 01,118 56 22,DEADMAN C A BIG SPRINGS NR CRESTVIEW CA,NOAA_HADS
10265150,HFCC1,D100D492,REV,CA,37.668889,-118.816667,37 40 08,118 49 00,HOT C A FLUME NR MAMMOTH LAKES CA,NOAA_HADS
10289000,VCBC1,16298D3C,REV,CA,38.191944,-119.209167,38 11 31,119 12 33,VIRGINIA CK NR BRIDGEPORT CA,NOAA_HADS
10289500,GCBC1,DD7A75DE,REV,CA,38.173889,-119.232778,38 10 26,119 13 58,GREEN CK NR BRIDGEPORT CA,NOAA_HADS
10290500,RBNC1,DD272286,REV,CA,38.172222,-119.323611,38 10 20,119 19 25,ROBINSON CK AT TWIN LKS OUTLET NR BRIDGEPORT CA,NOAA_HADS
10291500,BKIC1,DE6AF6B2,REV,CA,38.238889,-119.325,38 14 20,119 19 30,BUCKEYE CK NR BRIDGEPORT CA,NOAA_HADS
10292500,BPRC1,DD9994A8,REV,CA,38.325,-119.211111,38 19 30,119 12 40,BRIDGEPORT RE NR BRIDGEPORT CA,NOAA_HADS
10293000,EWBC1,DE94C554,REV,CA,38.327778,-119.213889,38 19 40,119 12 50,E WALKER RV NR BRIDGEPORT CA,NOAA_HADS
10296000,WWBC1,DD63A274,REV,CA,38.379722,-119.449167,38 22 47,119 26 57,W WALKER RV BLW L WALKER RV NR COLEVILLE CA,NOAA_HADS
10296500,CLEC1,DE91C294,REV,CA,38.513333,-119.448889,38 30 48,119 26 56,W WALKER RV NR COLEVILLE CA,NOAA_HADS
10296750,TPZC1,D10262E8,REV,CA,38.636667,-119.5075,38 38 12,119 30 27,TOPAZ CANAL BLW DIV W WALKER RVR NR TOPAZ CA,NOAA_HADS
10308200,CEMC1,DE91BAD6,REV,CA,38.714722,-119.763889,38 42 53,119 45 50,E FK CARSON RV BLW MARKLEEVILLE CK NR MARKLEEVILLE,NOAA_HADS
10308783,LVCC1,DDF311DC,REV,CA,38.701389,-119.655556,38 42 05,119 39 20,LEVIATHAN C AB MINE NR MARKLEEVILLE CA,NOAA_HADS
10308789,LVIC1,17E2B01A,REV,CA,38.716944,-119.659167,38 43 01,119 39 33,LEVIATHAN C AB ASPEN C NR MARKLEEVILLE CA,NOAA_HADS
10308794,BBMC1,1738B2B2,REV,CA,38.735833,-119.644444,38 44 09,119 38 40,BRYANT C BL MOUNTAINEER C NR MARKLEEVILLE CA,NOAA_HADS
10310000,WOOC1,DE91CC46,REV,CA,38.769722,-119.832778,38 46 11,119 49 58,W FK CARSON RV AT WOODFORDS CA,NOAA_HADS
103366092,UTHC1,DE947808,REV,CA,38.848611,-120.026111,38 50 55,120 01 34,UPPER TRUCKEE RV AT HWY 50 ABV MEYERS CA,NOAA_HADS
10336610,UTRC1,DE91F9DC,REV,CA,38.9225,-119.990556,38 55 21,119 59 26,UPPER TRUCKEE RV AT SOUTH LAKE TAHOE CA,NOAA_HADS
10336645,GNRC1,DDF43BD6,REV,CA,39.051944,-120.1175,39 03 07,120 07 03,GENERAL C NR MEEKS BAY CA,NOAA_HADS
10336660,BKDC1,DDF44D46,REV,CA,39.1075,-120.161111,39 06 27,120 09 40,BLACKWOOD C NR TAHOE CITY CA,NOAA_HADS
10336674,WCBC1,DD722FD6,REV,CA,39.140833,-120.211111,39 08 27,120 12 40,WARD C BL CONFLUENCE NR TAHOE CITY CA,NOAA_HADS
10336676,WDKC1,DDF45E30,REV,CA,39.132222,-120.156667,39 07 56,120 09 24,WARD C AT HWY 89 NR TAHOE PINES CA,NOAA_HADS
10336780,TTVC1,DE920084,REV,CA,38.92,-119.971389,38 55 12,119 58 17,TROUT CK NR TAHOE VALLEY CA,NOAA_HADS
10337000,THLC1,DD54D0A0,REV,CA,39.180833,-120.118333,39 10 51,120 07 06,LAKE TAHOE A TAHOE CITY CA,NOAA_HADS
10337500,TRTC1,DDEC03A6,REV,CA,39.166389,-120.143333,39 09 59,120 08 36,TRUCKEE R A TAHOE CITY CA,NOAA_HADS
10337810,OVCC1,DD5522DE,REV,CA,39.198775,-120.241111,39 11 55.59,120 14 28,NF WASHESHU C A OLYMPIC VALLEY CA,NOAA_HADS
10338000,TRCC1,DE900570,REV,CA,39.296389,-120.204444,39 17 47,120 12 16,TRUCKEE R NR TRUCKEE CA,NOAA_HADS
10338400,DNRC1,DD5531A8,REV,CA,39.325,-120.281389,39 19 30,120 16 53,DONNER LK NR TRUCKEE CA,NOAA_HADS
10338500,DCKC1,DE54823A,REV,CA,39.323611,-120.233333,39 19 25,120 14 00,DONNER C A DONNER LK NR TRUCKEE CA,NOAA_HADS
10338700,DCHC1,DD70DAA6,REV,CA,39.321111,-120.206944,39 19 16,120 12 25,DONNER C AT HWY 89 NR TRUCKEE CA,NOAA_HADS
10339410,TBMC1,DDEBF116,REV,CA,39.353056,-120.119444,39 21 11,120 07 10,TRUCKEE R BL MARTIS C NR TRUCKEE CA,NOAA_HADS
10340300,PSRC1,DD5787D2,REV,CA,39.379444,-120.136667,39 22 46,120 08 12,PROSSER C RES NR TRUCKEE CA,NOAA_HADS
10340500,PROC1,DE903E38,REV,CA,39.373333,-120.130556,39 22 24,120 07 50,PROSSER C BL PROSSER C DAM NR TRUCKEE CA,NOAA_HADS
10341100,PZCC1,17139618,REV,CA,39.454861,-120.391222,39 27 17.5,120 23 28.4,PERAZZO C NR SODA SPRINGS CA,NOAA_HADS
10342900,ILAC1,DD54E53A,REV,CA,39.451944,-120.289722,39 27 07,120 17 23,INDEPENDENCE LK NR TRUCKEE CA,NOAA_HADS
10343000,ICRC1,DD54F64C,REV,CA,39.456667,-120.286111,39 27 24,120 17 10,INDEPENDENCE C NR TRUCKEE CA,NOAA_HADS
10343500,SGNC1,DD54A630,REV,CA,39.431667,-120.236944,39 25 54,120 14 13,SAGEHEN C NR TRUCKEE CA,NOAA_HADS
10344300,STPC1,DD5751BA,REV,CA,39.470556,-120.103056,39 28 14,120 06 11,STAMPEDE RES NR BOCA CA,NOAA_HADS
10344400,LITC1,DD551744,REV,CA,39.435833,-120.083333,39 26 09,120 05 00,LITTLE TRUCKEE R AB BOCA RES NR TRUCKEE CA,NOAA_HADS
10344490,BCVC1,DDDE4328,REV,CA,39.388889,-120.095278,39 23 20,120 05 43,BOCA RES NR TRUCKEE CA,NOAA_HADS
10344500,BCAC1,DD576420,REV,CA,39.386944,-120.094444,39 23 13,120 05 40,LITTLE TRUCKEE R BL BOCA DAM NR TRUCKEE CA,NOAA_HADS
10344505,TBBC1,DDEC10D0,REV,CA,39.385278,-120.086667,39 23 07,120 05 12,TRUCKEE R A BOCA BRIDGE NR TRUCKEE CA,NOAA_HADS
10346000,FARC1,DDEC7536,REV,CA,39.428056,-120.033056,39 25 41,120 01 59,TRUCKEE R A FARAD CA,NOAA_HADS
11012500,CPOC1,16CA077E,SGX,CA,32.591111,-116.524722,32 35 28,116 31 29,CAMPO C NR CAMPO CA,NOAA_HADS
11014000,JMLC1,DE0771F2,SGX,CA,32.6375,-116.883333,32 38 15,116 53 00,JAMUL C NR JAMUL CA,NOAA_HADS
11015000,SWCC1,DD9F5178,SGX,CA,32.834722,-116.622222,32 50 05,116 37 20,SWEETWATER R NR DESCANSO CA,NOAA_HADS
11016200,DEHC1,DDCCE1BA,SGX,CA,32.774167,-116.850278,32 46 27,116 51 01,SWEETWATER R A DEHESA CA,NOAA_HADS
11020600,CPNC1,DD725794,SGX,CA,32.882222,-116.808333,32 52 56,116 48 30,EL CAPITAN RES NR LAKESIDE CA,NOAA_HADS
11022100,VCTC1,DD7244E2,SGX,CA,32.913333,-116.927222,32 54 48,116 55 38,SAN VICENTE RES NR LAKESIDE CA,NOAA_HADS
11022200,LCCC1,173090F8,SGX,CA,32.836111,-116.899444,32 50 10,116 53 58,LOS COCHES C NR LAKESIDE CA,NOAA_HADS
11022480,SDGC1,DDCCC756,SGX,CA,32.840278,-117.025,32 50 25,117 01 30,SAN DIEGO R A MAST RD NR SANTEE CA,NOAA_HADS
11022830,AVDC1,162E2FF0,SGX,CA,32.778325,-117.063397,32 46 41.97,117 03 48.23,ALVARADO C NR LA MESA CA,NOAA_HADS
11023000,FSNC1,DDCCD420,SGX,CA,32.765,-117.167778,32 45 54,117 10 04,SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA,NOAA_HADS
11023100,TFBC1,169B7756,SGX,CA,32.789528,-117.188111,32 47 22.3,117 11 17.2,TECOLOTE C AB FOOTBRIDGE NR SAN DIEGO CA,NOAA_HADS
11023340,PNQC1,173D939E,SGX,CA,32.943056,-117.120833,32 56 35,117 07 15,LOS PENASQUITOS C NR POWAY CA,NOAA_HADS
11025500,SYBC1,DDF827EE,SGX,CA,33.106944,-116.865278,33 06 25,116 51 55,SANTA YSABEL C NR RAMONA CA,NOAA_HADS
11027000,GTOC1,DD727178,SGX,CA,33.115833,-116.952222,33 06 57,116 57 08,GUEJITO C NR SAN PASQUAL CA,NOAA_HADS
11028500,SMKC1,17B1C5C6,SGX,CA,33.052222,-116.944722,33 03 08,116 56 41,SANTA MARIA C NR RAMONA CA,NOAA_HADS
11042000,SLOC1,DD804302,SGX,CA,33.218056,-117.359444,33 13 05,117 21 34,SAN LUIS REY R A OCEANSIDE CA,NOAA_HADS
11042400,TEKC1,17B1B356,SGX,CA,33.459167,-116.922778,33 27 33,116 55 22,TEMECULA C NR AGUANGA CA,NOAA_HADS
11042510,VLKC1,DDF2D638,SGX,CA,33.495556,-116.975833,33 29 44,116 58 33,VAIL LK NR TEMECULA CA,NOAA_HADS
11042631,PHGC1,DD3BA290,SGX,CA,33.464167,-117.123889,33 27 51,117 07 26,PECHANGA C NR TEMECULA CA,NOAA_HADS
11042700,MUCC1,1767A314,SGX,CA,33.555556,-117.230556,33 33 20,117 13 50,MURRIETA C NR MURRIETA CA,NOAA_HADS
11042800,WRSC1,DDFAE704,SGX,CA,33.532222,-117.176111,33 31 56,117 10 34,WARM SPRINGS C NR MURRIETA CA,NOAA_HADS
11042900,GRTC1,17302376,SGX,CA,33.524444,-117.163889,33 31 28,117 09 50,SANTA GERTRUDIS C NR TEMECULA CA,NOAA_HADS
11043000,MUTC1,17975184,SGX,CA,33.479722,-117.143056,33 28 47,117 08 35,MURRIETA C A TEMECULA CA,NOAA_HADS
11044000,SMHC1,17B1A020,SGX,CA,33.473889,-117.141389,33 28 26,117 08 29,SANTA MARGARITA R NR TEMECULA CA,NOAA_HADS
11044250,RNKC1,DD7FF40A,SGX,CA,33.4075,-117.2,33 24 27,117 12 00,RAINBOW C NR FALLBROOK CA,NOAA_HADS
11044300,SMFC1,DD3BD400,SGX,CA,33.413611,-117.240278,33 24 49,117 14 25,SANTA MARGARITA R A FPUD SUMP NR FALLBROOK CA,NOAA_HADS
11044350,SDQC1,173EB27C,SGX,CA,33.424444,-117.248333,33 25 28,117 14 54,SANDIA C NR FALLBROOK CA,NOAA_HADS
11044800,DLZC1,DD35B58E,SGX,CA,33.419722,-117.320833,33 25 11,117 19 15,DE LUZ C NR DE LUZ CA,NOAA_HADS
11045300,FABC1,DD7FE77C,SGX,CA,33.346944,-117.316944,33 20 49,117 19 01,FALLBROOK C NR FALLBROOK CA,NOAA_HADS
11045600,ONEC1,DDF5D40C,SGX,CA,33.325,-117.324722,33 19 30,117 19 29,ONEILL LAKE OUTLET CH NR FALLBROOK CA,NOAA_HADS
11045700,OSPC1,173FB086,SGX,CA,33.328889,-117.326389,33 19 44,117 19 35,ONEILL LK SPILL CH NR FALLBROOK CA,NOAA_HADS
11046000,YDRC1,DDCD00B2,SGX,CA,33.311111,-117.346389,33 18 40,117 20 47,SANTA MARGARITA R A YSIDORA CA,NOAA_HADS
11046050,SXMC1,DDE4E4F2,SGX,CA,33.237806,-117.395306,33 14 16.1,117 23 43.1,SANTA MARGARITA R A MOUTH NR OCEANSIDE CA,NOAA_HADS
11046325,XSMC1,DD803592,SGX,CA,33.419333,-117.537056,33 25 09.60,117 32 13.40,SAN MATEO C A SAN MATEO RD NR SAN ONOFRE CA,NOAA_HADS
11046360,CRIC1,17B1E32A,SGX,CA,33.426389,-117.569444,33 25 35,117 34 10,CRISTIANITOS C AB SAN MATEO C NR SAN CLEMENTE CA,NOAA_HADS
11046530,SJPC1,178FC7DE,SGX,CA,33.5025,-117.647222,33 30 09,117 38 50,SAN JUAN C AT LA NOVIA ST BR AT SAN JUAN CAPIS CA,NOAA_HADS
11047300,ARYC1,DDF2E3A2,SGX,CA,33.498333,-117.665,33 29 54,117 39 54,ARROYO TRABUCO A SAN JUAN CAPISTRANO CA,NOAA_HADS
11048175,AQCC1,DDF6D302,SGX,CA,33.687083,-117.695417,33 41 13.5,117 41 43.5,AGUA CHINON WASH A PORTOLA SPRINGS RD NR IRVINE CA,NOAA_HADS
11048600,BOKC1,DDF70790,SGX,CA,33.645,-117.860278,33 38 42,117 51 37,BONITA C A IRVINE CA,NOAA_HADS
11051499,SRWC1,172F227A,SGX,CA,34.108333,-117.099722,34 06 30,117 05 59,SANTA ANA R NR MENTONE (RIVER ONLY) CA,NOAA_HADS
11051502,SRDC1,173A612E,SGX,CA,34.108333,-117.099722,34 06 30,117 05 59,SAR SUPP GAGE NR MENTONE CA,NOAA_HADS
11055500,PGKC1,DD7EA68C,SGX,CA,34.118333,-117.140833,34 07 06,117 08 27,PLUNGE C NR EAST HIGHLANDS CA,NOAA_HADS
11055800,CITC1,DD7EB5FA,SGX,CA,34.143889,-117.187778,34 08 38,117 11 16,CITY C NR HIGHLAND CA,NOAA_HADS
11057500,TIMC1,DD364204,SGX,CA,34.061389,-117.266667,34 03 41,117 16 00,SAN TIMOTEO C NR LOMA LINDA CA,NOAA_HADS
11058500,ETCC1,1713B0F4,SGX,CA,34.179167,-117.264722,34 10 45,117 15 53,E TWIN C NR ARROWHEAD SPRINGS CA,NOAA_HADS
11058600,WERC1,DD08F392,SGX,CA,34.185833,-117.272222,34 11 09,117 16 20,WATERMAN CANYON CREEK NR ARROWHEAD SPRINGS CA,NOAA_HADS
11059300,SREC1,D1024404,SGX,CA,34.065,-117.299444,34 03 54,117 17 58,SANTA ANA R A E ST NR SAN BERNARDINO CA,NOAA_HADS
11060400,WRMC1,171031EE,SGX,CA,34.078333,-117.299444,34 04 42,117 17 58,WARM C NR SAN BERNARDINO CA,NOAA_HADS
11062000,LCFC1,DD3A95F0,SGX,CA,34.211844,-117.457867,34 12 42.64,117 27 28.32,LYTLE C NR FONTANA CA,NOAA_HADS
11063510,CJKC1,D100A202,SGX,CA,34.263333,-117.466111,34 15 48,117 27 58,CAJON C BL LONE PINE C NR KEENBROOK CA,NOAA_HADS
11063680,DCCC1,17ADB554,SGX,CA,34.208333,-117.330556,34 12 30,117 19 50,DEVIL CYN C NR SAN BERNARDINO CA,NOAA_HADS
11065000,YTLC1,173757D2,SGX,CA,34.078889,-117.304722,34 04 44,117 18 17,LYTLE C A COLTON CA,NOAA_HADS
11066320,RIXC1,DDEBC48C,SGX,CA,34.041386,-117.354569,34 02 28.99,117 21 16.45,RIX OUTFLOW A SANTA ANA R NR GRAND TERRACE CA,NOAA_HADS
11066460,MWXC1,1733A26C,SGX,CA,33.968472,-117.448222,33 58 06.50,117 26 53.60,SANTA ANA R A MWD CROSSING CA,NOAA_HADS
11069500,SJIC1,1738124A,SGX,CA,33.738056,-116.833056,33 44 17,116 49 59,SAN JACINTO R NR SAN JACINTO,NOAA_HADS
11070150,SJKC1,DD3D97C4,SGX,CA,33.821389,-116.9725,33 49 17,116 58 21,SAN JACINTO R AB STATE STREET NR SAN JACINTO CA,NOAA_HADS
11070210,SJTC1,1793D2AA,SGX,CA,33.839722,-117.135,33 50 23,117 08 06,SAN JACINTO R A RAMONA EXPRESSWAY NR LAKEVIEW CA,NOAA_HADS
11070270,PRIC1,17946310,SGX,CA,33.801111,-117.205278,33 48 04,117 12 19,PERRIS VALLEY STORM DR A NUEVO RD NR PERRIS CA,NOAA_HADS
11070365,JACC1,DDF5C77A,SGX,CA,33.746111,-117.230833,33 44 46,117 13 51,SAN JACINTO R NR SUN CITY CA,NOAA_HADS
11070465,SKEC1,DD0CB5A2,SGX,CA,33.694167,-117.204722,33 41 39,117 12 17,SALT C A MURRIETA RD NR SUN CITY CA,NOAA_HADS
11070500,SJVC1,1730A562,SGX,CA,33.664167,-117.293056,33 39 51,117 17 35,SAN JACINTO R NR ELSINORE CA,NOAA_HADS
11071760,QCCC1,171CA510,SGX,CA,33.754444,-117.495806,33 45 16,117 29 44.90,COLDWATER CANYON C NR CORONA CA,NOAA_HADS
11071900,ONAC1,DDD2F13A,SGX,CA,33.750278,-117.445833,33 45 01,117 26 45,TEMESCAL C A CORONA LK NR CORONA CA,NOAA_HADS
11072100,TSLC1,173744A4,SGX,CA,33.889167,-117.561944,33 53 21,117 33 43,TEMESCAL C AB MAIN ST A CORONA CA,NOAA_HADS
11073300,IOCC1,17ADC3C4,SGX,CA,34.018611,-117.729722,34 01 07,117 43 47,SAN ANTONIO C A RIVERSIDE DRIVE NR CHINO CA,NOAA_HADS
11073360,CHKC1,DD7EC36A,SGX,CA,34.003889,-117.726111,34 00 14,117 43 34,CHINO C A SCHAEFER AVENUE NR CHINO CA,NOAA_HADS
11073495,CCMC1,165020E6,SGX,CA,33.982778,-117.598611,33 58 58,117 35 55,CUCAMONGA C NR MIRA LOMA CA,NOAA_HADS
11074000,PDDC1,F0000282,SGX,CA,33.883333,-117.644444,33 53 00,117 38 40,SANTA ANA R BL PRADO DAM CA,NOAA_HADS
11075720,CBCC1,DE53A6E2,SGX,CA,33.913333,-117.841667,33 54 48,117 50 30,CARBON C BL CARBON CYN DAM CA,NOAA_HADS
11075800,SMJC1,17969660,SGX,CA,33.708889,-117.634722,33 42 32,117 38 05,SANTIAGO C A MODJESKA CA,NOAA_HADS
11077500,SKAC1,178D8120,SGX,CA,33.770278,-117.883611,33 46 13,117 53 01,SANTIAGO C A SANTA ANA CA,NOAA_HADS
11078000,SRVC1,DDEBB21C,SGX,CA,33.751111,-117.9075,33 45 04,117 54 27,SANTA ANA R A SANTA ANA CA,NOAA_HADS
11085000,SFHC1,17100474,LOX,CA,34.112222,-117.968611,34 06 44,117 58 07,SAN GABRIEL R BL SANTA FE DAM NR BALDWIN PK CA,NOAA_HADS
11087020,SRQC1,DD7EE586,LOX,CA,34.034167,-118.037222,34 02 03,118 02 14,SAN GABRIEL R AB WHITTIER NARROWS DAM CA,NOAA_HADS
11088500,BKBC1,DE53B594,SGX,CA,33.887778,-117.925556,33 53 16,117 55 32,BREA C BL BREA DAM NR FULLERTON CA,NOAA_HADS
11089500,FKKC1,DE53C304,SGX,CA,33.895833,-117.885278,33 53 45,117 53 07,FULLERTON C BL FULLERTON DAM NR BREA CA,NOAA_HADS
11092450,PVCC1,17ADE528,LOX,CA,34.161667,-118.465833,34 09 42,118 27 57,LOS ANGELES R A SEPULVEDA DAM CA,NOAA_HADS
11097000,TJCC1,170E14F4,LOX,CA,34.253611,-118.388056,34 15 13,118 23 17,BIG TUJUNGA C BL HANSEN DAM CA,NOAA_HADS
11098000,ASPC1,DDCCF2CC,LOX,CA,34.222222,-118.176667,34 13 20,118 10 36,ARROYO SECO NR PASADENA CA,NOAA_HADS
11101250,RHGC1,1711D0E6,LOX,CA,34.058333,-118.070833,34 03 30,118 04 15,RIO HONDO AB WHITTIER NARROWS DAM CA,NOAA_HADS
11102300,RHCC1,DD7EF6F0,LOX,CA,34.016667,-118.0875,34 01 00,118 05 15,RIO HONDO BL WHITTIER NARROWS DAM CA,NOAA_HADS
11104040,TGMC1,17E425B6,LOX,CA,34.039242,-118.583131,34 02 21.27,118 34 59.27,TOPANGA C A HWY 1 BRIDGE NR MALIBU CA,NOAA_HADS
11109000,SCPC1,17408622,LOX,CA,34.403611,-118.738333,34 24 13,118 44 18,SANTA CLARA R NR PIRU CA,NOAA_HADS
11109600,PCPC1,17385140,LOX,CA,34.523056,-118.756111,34 31 23,118 45 22,PIRU CREEK ABOVE LAKE PIRU CA,NOAA_HADS
11109700,LKPC1,17443096,LOX,CA,34.461389,-118.750556,34 27 41,118 45 02,LK PIRU NR PIRU CA,NOAA_HADS
11109800,PSFC1,DF09A250,LOX,CA,34.460278,-118.751111,34 27 37,118 45 04,PIRU CREEK BELOW SANTA FELICIA DAM CA,NOAA_HADS
11111500,SSWC1,173660B2,LOX,CA,34.577778,-119.256389,34 34 40,119 15 23,SESPE CREEK NEAR WHEELER SPRINGS CA,NOAA_HADS
11113000,SESC1,DE55334E,LOX,CA,34.441667,-118.926389,34 26 30,118 55 35,SESPE C NR FILLMORE,NOAA_HADS
11113500,SPPC1,DD7D876E,LOX,CA,34.413333,-119.081389,34 24 48,119 04 53,SANTA PAULA C NR SANTA PAULA,NOAA_HADS
11114495,MTGC1,DDF4760E,LOX,CA,34.502778,-119.356389,34 30 10,119 21 23,MATILIJA C NR RES NR MATILIJA HOT SPRINGS CA,NOAA_HADS
11118500,VRVC1,1744E6FE,LOX,CA,34.352222,-119.3075,34 21 08,119 18 27,VENTURA R NR VENTURA,NOAA_HADS
11119500,CPCC1,DE52D288,LOX,CA,34.401261,-119.487306,34 24 04.54,119 29 14.3,CARPINTERIA C NR CARPINTERIA CA,NOAA_HADS
11119745,MNOC1,173A3152,LOX,CA,34.440556,-119.710833,34 26 26,119 42 39,MISSION C A ROCKY NOOK PARK A SANTA BARBARA CA,NOAA_HADS
11119750,MSEC1,DE52C1FE,LOX,CA,34.426628,-119.723669,34 25 35.86,119 43 25.21,MISSION C NR MISSION ST NR SANTA BARBARA CA,NOAA_HADS
11119770,MGZC1,DD805EA6,LOX,CA,34.414219,-119.695847,34 24 51.19,119 41 45.05,MISSION C BL W GUTIERREZ ST BR A SANTA BARBARA CA,NOAA_HADS
11119940,LMYC1,DDEF17DE,LOX,CA,34.445,-119.802778,34 26 42,119 48 10,MARIA YGNACIO C A UNIVERSITY DRIVE NR GOLETA CA,NOAA_HADS
11120000,ATDC1,DDEF47A2,LOX,CA,34.424722,-119.810833,34 25 29,119 48 39,ATASCADERO C NR GOLETA CA,NOAA_HADS
